,,dBA,12.5,16.0,20.0,25.0,31.5,40.0,50.0,63.0,80.0,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000
28dec2020_005.slmdl,Leq_third,68.9,71.2,68.4,65.2,64.4,61.2,57.8,73.9,75.9,86.3,73.2,68.7,70.1,62.3,61.8,55.7,48.1,50.3,48.3,50.5,53.7,56.8,52.3,51.9,59.9,55.1,54.0,51.4,49.6,49.8,47.8,44.7,36.4,24.6
28dec2020_002.slmdl,Leq_third,75.7,68.9,66.8,64.3,60.2,59.3,57.3,81.3,80.9,92.8,77.6,78.3,77.9,68.1,68.1,58.0,52.1,55.8,55.2,54.8,62.9,66.1,62.2,60.2,64.2,60.6,61.7,60.1,58.5,57.6,57.8,55.1,47.3,32.5
,,dBA,12.5,16.0,20.0,25.0,31.5,40.0,50.0,63.0,80.0,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000
28dec2020_005.slmdl,Max_third,70.0,69.7,72.6,67.8,56.6,59.4,54.5,68.4,70.7,90.8,75.8,72.5,72.6,62.5,67.2,54.8,50.9,50.2,43.2,50.2,51.9,54.5,52.9,47.2,61.9,61.1,57.1,55.3,52.7,54.1,54.0,50.0,42.8,27.8
28dec2020_002.slmdl,Max_third,78.1,66.4,67.1,66.7,63.5,60.8,59.7,84.5,87.4,97.1,83.7,86.6,84.5,67.6,72.5,62.0,55.8,55.9,59.3,58.4,63.8,68.3,65.3,63.5,67.5,64.5,66.8,66.0,65.1,64.3,61.4,59.0,51.7,33.9
,,dBA,12.5,16.0,20.0,25.0,31.5,40.0,50.0,63.0,80.0,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,2500,3150,4000,5000,6300,8000,10000,12500,16000,20000
28dec2020_005.slmdl,Min_third,67.0,71.2,68.4,65.2,64.4,61.2,57.8,73.9,75.9,86.3,73.2,68.7,70.1,62.3,61.8,55.7,48.1,50.3,48.3,50.5,53.7,56.8,52.3,51.9,59.9,55.1,54.0,51.4,49.6,49.8,47.8,44.7,36.4,24.6
28dec2020_002.slmdl,Min_third,70.4,68.9,66.8,64.3,60.2,59.3,57.3,81.3,80.9,92.8,77.6,78.3,77.9,68.1,68.1,58.0,52.1,55.8,55.2,54.8,62.9,66.1,62.2,60.2,64.2,60.6,61.7,60.1,58.5,57.6,57.8,55.1,47.3,32.5
